Month_Year,Percentage
January 2009,8.75
February 2009,8.25
March 2009,7.75
April 2009,7.5
May 2009,7.25
June 2009,7.0
July 2009,6.75
August 2009,6.5
September 2009,6.5
October 2009,6.5
November 2009,6.5
December 2009,6.5
January 2010,6.5
February 2010,6.5
March 2010,6.5
April 2010,6.5
May 2010,6.5
June 2010,6.5
July 2010,6.5
August 2010,6.5
September 2010,6.5
October 2010,6.5
November 2010,6.5
December 2010,6.5
January 2011,6.5
February 2011,6.5
March 2011,6.75
April 2011,6.75
May 2011,6.75
June 2011,6.75
July 2011,6.75
August 2011,6.75
September 2011,6.75
October 2011,6.75
November 2011,6.5
December 2011,6.0
January 2012,6.0
February 2012,6.0
March 2012,6.0
April 2012,5.75
May 2012,5.75
June 2012,5.75
July 2012,5.75
August 2012,5.75
September 2012,5.75
October 2012,5.75
November 2012,5.75
December 2012,5.75
January 2013,5.75
February 2013,5.75
April 2013,5.75
May 2013,5.75
June 2013,5.75
July 2013,5.75
August 2013,5.75
September 2013,6.0
October 2013,6.5
November 2013,7.0
December 2013,7.25
January 2014,7.25
February 2014,7.5
March 2014,7.5
May 2014,7.5
June 2014,7.5
July 2014,7.5
August 2014,7.5
September 2014,7.5
October 2014,7.5
November 2014,7.5
December 2014,7.5
January 2015,7.5
February 2015,7.5
March 2015,7.75
April 2015,7.75
June 2015,7.75
July 2015,7.5
August 2015,7.5
September 2015,7.5
October 2015,7.5
November 2015,7.5
December 2015,7.5
January 2016,7.5
February 2016,7.5
March 2016,7.5
April 2016,7.5
May 2016,7.5
July 2016,7.25
August 2016,7.0
September 2016,6.75
October 2016,6.75
November 2016,6.75
December 2016,6.5
January 2017,6.5
February 2017,5.25
March 2017,5.0
April 2017,4.75
May 2017,4.75
June 2017,4.75
August 2017,4.75
September 2017,4.75
October 2017,4.75
November 2017,4.75
December 2017,4.75
January 2018,4.75
February 2018,4.75
March 2018,4.5
April 2018,4.25
May 2018,4.25
June 2018,4.25
July 2018,4.25
September 2018,4.25
October 2018,4.25
November 2018,4.25
December 2018,4.25
January 2019,4.75
February 2019,5.25
March 2019,5.25
April 2019,5.5
May 2019,5.75
June 2019,5.75
July 2019,6.0
August 2019,6.0
October 2019,6.0
November 2019,6.0
December 2019,6.0
January 2020,6.0
February 2020,6.0
March 2020,6.0
April 2020,5.75
May 2020,5.5
June 2020,5.25
July 2020,5.0
August 2020,5.0
September 2020,5.0
November 2020,5.0
December 2020,4.75
January 2021,4.5
February 2021,4.5
March 2021,4.5
April 2021,4.25
May 2021,4.0
June 2021,4.0
July 2021,4.0
August 2021,4.0
September 2021,3.75
October 2021,3.75
December 2021,3.75
January 2022,3.5
February 2022,3.5
March 2022,3.5
April 2022,3.5
May 2022,3.5
June 2022,3.5
July 2022,3.5
August 2022,3.5
September 2022,3.5
October 2022,3.5
November 2022,3.5
January 2023,3.5
February 2023,3.5
March 2023,3.5
April 2023,3.5
May 2023,3.5
June 2023,3.5
July 2023,3.5
August 2023,3.75
September 2023,4.25
October 2023,4.75
November 2023,5.25
December 2023,5.5
February 2024,5.75
March 2024,5.75
April 2024,5.75
May 2024,5.75
June 2024,5.75
July 2024,5.75
August 2024,5.75
September 2024,5.75
October 2024,5.75
November 2024,6.0
December 2024,6.0
January 2025,6.0
February 2025,6.0
March 2025,6.0
April 2025,6.0
May 2025,6.0
June 2025,6.25
July 2025,6.25
August 2025,6.25
September 2025,6.25
October 2025,6.25
November 2025,6.0
December 2025,6.0
